Team 1,Team 2,Match,Winner,Margin,Ground,Match Date,Team-1,Team-2,Winners
USA,CAN,USA vs CAN,USA,7 wickets,Dallas,02-06-2024,United States of America,Canada,United States of America
WI,PNG,WI vs PNG,WI,5 wickets,Providence,02-06-2024,West Indies,Papua New Guinea,West Indies
NAM,OMA,NAM vs OMA,Tied,-,Bridgetown,03-06-2024,Namibia,Oman,Tied
SA,SL,SA vs SL,SA,6 wickets,New York,03-06-2024,South Africa,Sri Lanka,South Africa
AFG,UGA,AFG vs UGA,AFG,125 runs,Providence,04-06-2024,Afghanistan,Uganda,Afghanistan
ENG,SCOT,ENG vs SCOT,No Result,-,Bridgetown,04-06-2024,England,Scotland,No Result
Nepal,NED,Nepal vs NED,NED,6 wickets,Dallas,04-06-2024,Nepal,Netherlands,Netherlands
IND,IRE,IND vs IRE,IND,8 wickets,New York,05-06-2024,India,Ireland,India
PNG,UGA,PNG vs UGA,UGA,3 wickets,Providence,06-06-2024,Papua New Guinea,Uganda,Uganda
AUS,OMA,AUS vs OMA,AUS,39 runs,Bridgetown,06-06-2024,Australia,Oman,Australia
USA,PAK,USA vs PAK,Tied,-,Dallas,06-06-2024,United States of America,Pakistan,Tied
NAM,SCOT,NAM vs SCOT,SCOT,5 wickets,Bridgetown,07-06-2024,Namibia,Scotland,Scotland
CAN,IRE,CAN vs IRE,CAN,12 runs,New York,07-06-2024,Canada,Ireland,Canada
AFG,NZ,AFG vs NZ,AFG,84 runs,Providence,08-06-2024,Afghanistan,New Zealand,Afghanistan
BAN,SL,BAN vs SL,BAN,2 wickets,Dallas,08-06-2024,Bangladesh,Sri Lanka,Bangladesh
NED,SA,NED vs SA,SA,4 wickets,New York,08-06-2024,Netherlands,South Africa,South Africa
AUS,ENG,AUS vs ENG,AUS,36 runs,Bridgetown,08-06-2024,Australia,England,Australia
WI,UGA,WI vs UGA,WI,134 runs,Providence,09-06-2024,West Indies,Uganda,West Indies
IND,PAK,IND vs PAK,IND,6 runs,New York,09-06-2024,India,Pakistan,India
OMA,SCOT,OMA vs SCOT,SCOT,7 wickets,North Sound,09-06-2024,Oman,Scotland,Scotland
BAN,SA,BAN vs SA,SA,4 runs,New York,10-06-2024,Bangladesh,South Africa,South Africa
CAN,PAK,CAN vs PAK,PAK,7 wickets,New York,11-06-2024,Canada,Pakistan,Pakistan
AUS,NAM,AUS vs NAM,AUS,9 wickets,North Sound,12-06-2024,Australia,Namibia,Australia
USA,IND,USA vs IND,IND,7 wickets,New York,12-06-2024,United States of America,India,India
WI,NZ,WI vs NZ,WI,13 runs,Tarouba,13-06-2024,West Indies,New Zealand,West Indies
BAN,NED,BAN vs NED,BAN,25 runs,Kingstown,13-06-2024,Bangladesh,Netherlands,Bangladesh
ENG,OMA,ENG vs OMA,ENG,8 wickets,North Sound,14-06-2024,England,Oman,England
AFG,PNG,AFG vs PNG,AFG,7 wickets,Tarouba,14-06-2024,Afghanistan,Papua New Guinea,Afghanistan
Nepal,SA,Nepal vs SA,SA,1 run,Kingstown,15-06-2024,Nepal,South Africa,South Africa
NZ,UGA,NZ vs UGA,NZ,9 wickets,Tarouba,15-06-2024,New Zealand,Uganda,New Zealand
ENG,NAM,ENG vs NAM,ENG,41 runs,North Sound,15-06-2024,England,Namibia,England
AUS,SCOT,AUS vs SCOT,AUS,5 wickets,Gros Islet,16-06-2024,Australia,Scotland,Australia
IRE,PAK,IRE vs PAK,PAK,3 wickets,Lauderhill,16-06-2024,Ireland,Pakistan,Pakistan
BAN,Nepal,BAN vs Nepal,BAN,21 runs,Kingstown,17-06-2024,Bangladesh,Nepal,Bangladesh
NED,SL,NED vs SL,SL,83 runs,Gros Islet,17-06-2024,Netherlands,Sri Lanka,Sri Lanka
NZ,PNG,NZ vs PNG,NZ,7 wickets,Tarouba,17-06-2024,New Zealand,Papua New Guinea,New Zealand
WI,AFG,WI vs AFG,WI,104 runs,Gros Islet,18-06-2024,West Indies,Afghanistan,West Indies
SA,USA,SA vs USA,SA,18 runs,North Sound,19-06-2024,South Africa,United States of America,South Africa
WI,ENG,WI vs ENG,ENG,8 wickets,Gros Islet,20-06-2024,West Indies,England,England
AFG,IND,AFG vs IND,IND,47 runs,Bridgetown,20-06-2024,Afghanistan,India,India
AUS,BAN,AUS vs BAN,AUS,28 runs,North Sound,21-06-2024,Australia,Bangladesh,Australia
ENG,SA,ENG vs SA,SA,7 runs,Gros Islet,21-06-2024,England,South Africa,South Africa
WI,USA,WI vs USA,WI,9 wickets,Bridgetown,22-06-2024,West Indies,United States of America,West Indies
BAN,IND,BAN vs IND,IND,50 runs,North Sound,22-06-2024,Bangladesh,India,India
AFG,AUS,AFG vs AUS,AFG,21 runs,Kingstown,23-06-2024,Afghanistan,Australia,Afghanistan
ENG,USA,ENG vs USA,ENG,10 wickets,Bridgetown,23-06-2024,England,United States of America,England
WI,SA,WI vs SA,SA,3 wickets,North Sound,24-06-2024,West Indies,South Africa,South Africa
AUS,IND,AUS vs IND,IND,24 runs,Gros Islet,24-06-2024,Australia,India,India
AFG,BAN,AFG vs BAN,AFG,8 runs,Kingstown,25-06-2024,Afghanistan,Bangladesh,Afghanistan
AFG,SA,AFG vs SA,SA,9 wickets,Tarouba,27-06-2024,Afghanistan,South Africa,South Africa
ENG,IND,ENG vs IND,IND,68 runs,Providence,27-06-2024,England,India,India
IND,SA,IND vs SA,IND,7 runs,Bridgetown,29-06-2024,India,South Africa,India
